Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
65,Short-Ausstieg,2023-07-26 06:01,EOD_CLOSE,15652,2,624550,-1530,-0.24,390,0.06,-5020,-0.80,29400,29.40
65,Short-Einstieg,2023-07-25 15:31,Short_254,15613.75,2,624550,-1530,-0.24,390,0.06,-5020,-0.80,29400,29.40
66,Long-Ausstieg,2023-08-08 15:38,L078 SL,15342.5,32,9826400,-7200,-0.07,13440,0.14,-7200,-0.07,22200,22.20
66,Long-Einstieg,2023-08-08 15:32,Long_078,15353.75,32,9826400,-7200,-0.07,13440,0.14,-7200,-0.07,22200,22.20
67,Long-Ausstieg,2023-08-08 15:38,L078 SL,15342.5,32,9826400,-7200,-0.07,13440,0.14,-7200,-0.07,15000,15.00
67,Long-Einstieg,2023-08-08 15:32,Long_078,15353.75,32,9826400,-7200,-0.07,13440,0.14,-7200,-0.07,15000,15.00
68,Long-Ausstieg,2023-08-08 15:44,L140 SL,15330,1,307075,-475,-0.15,420,0.14,-475,-0.15,14525,14.52
68,Long-Einstieg,2023-08-08 15:32,Long_078,15353.75,1,307075,-475,-0.15,420,0.14,-475,-0.15,14525,14.52
69,Long-Ausstieg,2023-08-08 15:44,L140 SL,15330,31,9511575,-6975,-0.07,930,0.01,-6975,-0.07,7550,7.55
69,Long-Einstieg,2023-08-08 15:43,Long_140,15341.25,31,9511575,-6975,-0.07,930,0.01,-6975,-0.07,7550,7.55
70,Long-Ausstieg,2023-08-08 15:44,L140 SL,15330,32,9818400,-7200,-0.07,960,0.01,-7200,-0.07,350,0.35
70,Long-Einstieg,2023-08-08 15:43,Long_140,15341.25,32,9818400,-7200,-0.07,960,0.01,-7200,-0.07,350,0.35
71,Long-Ausstieg,2023-08-09 06:01,EOD_CLOSE,15375,2,613650,1350,0.22,2150,0.35,-4930,-0.80,1700,1.70
71,Long-Einstieg,2023-08-08 15:43,Long_140,15341.25,2,613650,1350,0.22,2150,0.35,-4930,-0.80,1700,1.70
72,Long-Ausstieg,2023-08-11 16:02,L078 TP1,15108.25,25,7527250,26875,0.36,26875,0.36,-1250,-0.02,28575,28.58
72,Long-Einstieg,2023-08-11 15:45,Long_078,15054.5,25,7527250,26875,0.36,26875,0.36,-1250,-0.02,28575,28.58
73,Long-Ausstieg,2023-08-11 16:20,L078 TP2,15160.75,25,7527250,53125,0.71,53125,0.71,-1250,-0.02,81700,81.70
73,Long-Einstieg,2023-08-11 15:45,Long_078,15054.5,25,7527250,53125,0.71,53125,0.71,-1250,-0.02,81700,81.70
74,Long-Ausstieg,2023-08-11 22:59,Offen,15103.75,1,301090,985,0.33,2395,0.80,-345,-0.11,82685,82.69
74,Long-Einstieg,2023-08-11 15:45,Long_078,15054.5,1,301090,985,0.33,2395,0.80,-345,-0.11,82685,82.69
