Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
109,Long-Einstieg,2025-09-18 15:40,Long_140,24404.4,1,24404.4,68.6,0.28,169.4,0.69,-45.7,-0.19,9474.2,9.47
110,Long-Ausstieg,2025-09-23 15:32,L078 TP1,24774.6,27,668514.6,399.6,0.06,399.6,0.06,-72.9,-0.01,9873.8,9.87
110,Long-Einstieg,2025-09-23 15:31,Long_078,24759.8,27,668514.6,399.6,0.06,399.6,0.06,-72.9,-0.01,9873.8,9.87
111,Long-Ausstieg,2025-09-23 15:35,L078 SL,24757.8,27,668514.6,-54,-0.01,558.9,0.08,-72.9,-0.01,9819.8,9.82
111,Long-Einstieg,2025-09-23 15:31,Long_078,24759.8,27,668514.6,-54,-0.01,558.9,0.08,-72.9,-0.01,9819.8,9.82
112,Long-Ausstieg,2025-09-24 06:01,EOD_CLOSE,24611.3,1,24759.8,-148.5,-0.60,20.7,0.08,-207.5,-0.84,9671.3,9.67
112,Long-Einstieg,2025-09-23 15:31,Long_078,24759.8,1,24759.8,-148.5,-0.60,20.7,0.08,-207.5,-0.84,9671.3,9.67
113,Long-Ausstieg,2025-09-26 15:32,L140 TP1,24448.4,27,658254.6,1852.2,0.28,1852.2,0.28,-89.1,-0.01,11523.5,11.52
113,Long-Einstieg,2025-09-26 15:31,Long_140,24379.8,27,658254.6,1852.2,0.28,1852.2,0.28,-89.1,-0.01,11523.5,11.52
114,Long-Ausstieg,2025-09-26 15:32,L078 TP1,24460.2,27,658254.6,2170.8,0.33,2170.8,0.33,-89.1,-0.01,13694.3,13.69
114,Long-Einstieg,2025-09-26 15:31,Long_140,24379.8,27,658254.6,2170.8,0.33,2170.8,0.33,-89.1,-0.01,13694.3,13.69
115,Long-Ausstieg,2025-09-26 16:01,L078 TP2,24512.1,1,24379.8,132.3,0.54,132.3,0.54,-3.3,-0.01,13826.6,13.83
115,Long-Einstieg,2025-09-26 15:31,Long_140,24379.8,1,24379.8,132.3,0.54,132.3,0.54,-3.3,-0.01,13826.6,13.83
116,Long-Ausstieg,2025-09-26 16:01,L078 TP2,24512.1,26,633874.8,3439.8,0.54,3439.8,0.54,-85.8,-0.01,17266.4,17.27
