Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
162,Long-Ausstieg,2025-12-15 00:01,EOD_CLOSE,25242,1,510315,-5475,-1.07,1085,0.21,-7955,-1.56,2967225,2967.23
162,Long-Einstieg,2025-12-12 15:48,Long_078,25515.75,1,510315,-5475,-1.07,1085,0.21,-7955,-1.56,2967225,2967.23
163,Short-Ausstieg,2025-12-16 15:37,S178 SL,25341.25,767,388562200,-172575,-0.04,30680,0.01,-172575,-0.04,2794650,2794.65
163,Short-Einstieg,2025-12-16 15:36,Short_178,25330,767,388562200,-172575,-0.04,30680,0.01,-172575,-0.04,2794650,2794.65
164,Short-Ausstieg,2025-12-16 15:37,S178 SL,25341.25,767,388562200,-172575,-0.04,30680,0.01,-172575,-0.04,2622075,2622.08
164,Short-Einstieg,2025-12-16 15:36,Short_178,25330,767,388562200,-172575,-0.04,30680,0.01,-172575,-0.04,2622075,2622.08
165,Short-Ausstieg,2025-12-16 15:51,S254 SL,25386.75,767,389260170,-172575,-0.04,115050,0.03,-172575,-0.04,2449500,2449.50
165,Short-Einstieg,2025-12-16 15:51,Short_254,25375.5,767,389260170,-172575,-0.04,115050,0.03,-172575,-0.04,2449500,2449.50
166,Short-Ausstieg,2025-12-16 15:51,S254 SL,25386.75,767,389260170,-172575,-0.04,115050,0.03,-172575,-0.04,2276925,2276.93
166,Short-Einstieg,2025-12-16 15:51,Short_254,25375.5,767,389260170,-172575,-0.04,115050,0.03,-172575,-0.04,2276925,2276.93
167,Short-Ausstieg,2025-12-19 15:32,S178 SL,25437.25,594,302060880,-133650,-0.04,160380,0.05,-133650,-0.04,2143275,2143.27
167,Short-Einstieg,2025-12-19 15:31,Short_178,25426,594,302060880,-133650,-0.04,160380,0.05,-133650,-0.04,2143275,2143.27
168,Short-Ausstieg,2025-12-19 15:32,S178 SL,25437.25,594,302060880,-133650,-0.04,160380,0.05,-133650,-0.04,2009625,2009.63
168,Short-Einstieg,2025-12-19 15:31,Short_178,25426,594,302060880,-133650,-0.04,160380,0.05,-133650,-0.04,2009625,2009.63
169,Short-Ausstieg,2025-12-19 15:43,S254 SL,25480.75,594,302577660,-133650,-0.04,121770,0.04,-133650,-0.04,1875975,1875.98
169,Short-Einstieg,2025-12-19 15:42,Short_254,25469.5,594,302577660,-133650,-0.04,121770,0.04,-133650,-0.04,1875975,1875.98
170,Short-Ausstieg,2025-12-19 15:43,S254 SL,25480.75,594,302577660,-133650,-0.04,121770,0.04,-133650,-0.04,1742325,1742.33
170,Short-Einstieg,2025-12-19 15:42,Short_254,25469.5,594,302577660,-133650,-0.04,121770,0.04,-133650,-0.04,1742325,1742.33
171,Long-Ausstieg,2025-12-26 15:31,L078 SL,25865.25,460,238063800,-103500,-0.04,43700,0.02,-103500,-0.04,1638825,1638.82
171,Long-Einstieg,2025-12-26 15:31,Long_078,25876.5,460,238063800,-103500,-0.04,43700,0.02,-103500,-0.04,1638825,1638.82
172,Long-Ausstieg,2025-12-26 15:31,L078 SL,25865.25,460,238063800,-103500,-0.04,43700,0.02,-103500,-0.04,1535325,1535.32
172,Long-Einstieg,2025-12-26 15:31,Long_078,25876.5,460,238063800,-103500,-0.04,43700,0.02,-103500,-0.04,1535325,1535.32
173,Long-Ausstieg,2025-12-26 15:33,L140 TP1,25901.25,1,517530,495,0.10,495,0.10,-240,-0.05,1535820,1535.82
173,Long-Einstieg,2025-12-26 15:31,Long_078,25876.5,1,517530,495,0.10,495,0.10,-240,-0.05,1535820,1535.82
174,Long-Ausstieg,2025-12-26 15:33,L140 TP1,25901.25,459,237511845,261630,0.11,261630,0.11,-75735,-0.03,1797450,1797.45
174,Long-Einstieg,2025-12-26 15:31,Long_140,25872.75,459,237511845,261630,0.11,261630,0.11,-75735,-0.03,1797450,1797.45
175,Long-Ausstieg,2025-12-26 15:41,L140 TP2,25929,460,238029300,517500,0.22,517500,0.22,-75900,-0.03,2314950,2314.95
175,Long-Einstieg,2025-12-26 15:31,Long_140,25872.75,460,238029300,517500,0.22,517500,0.22,-75900,-0.03,2314950,2314.95
176,Long-Ausstieg,2025-12-29 00:01,EOD_CLOSE,25873.5,2,1034910,30,0.00,2500,0.24,-1540,-0.15,2314980,2314.98
176,Long-Einstieg,2025-12-26 15:31,Long_140,25872.75,2,1034910,30,0.00,2500,0.24,-1540,-0.15,2314980,2314.98
177,Long-Ausstieg,2026-01-08 15:34,L140 SL,25711,603,310225410,-150750,-0.05,180900,0.06,-150750,-0.05,2164230,2164.23
177,Long-Einstieg,2026-01-08 15:33,Long_140,25723.5,603,310225410,-150750,-0.05,180900,0.06,-150750,-0.05,2164230,2164.23
178,Long-Ausstieg,2026-01-08 15:34,L140 SL,25711,603,310225410,-150750,-0.05,180900,0.06,-150750,-0.05,2013480,2013.48
178,Long-Einstieg,2026-01-08 15:33,Long_140,25723.5,603,310225410,-150750,-0.05,180900,0.06,-150750,-0.05,2013480,2013.48
179,Long-Ausstieg,2026-01-09 06:01,EOD_CLOSE,25684.5,1,514470,-780,-0.15,365,0.07,-3090,-0.60,2012700,2012.70
179,Long-Einstieg,2026-01-08 15:33,Long_140,25723.5,1,514470,-780,-0.15,365,0.07,-3090,-0.60,2012700,2012.70
180,Short-Ausstieg,2026-01-13 15:51,S178 TP1,25953,528,274977120,913440,0.33,913440,0.33,-34320,-0.01,2926140,2926.14
180,Short-Einstieg,2026-01-13 15:41,Short_178,26039.5,528,274977120,913440,0.33,913440,0.33,-34320,-0.01,2926140,2926.14
181,Short-Ausstieg,2026-01-13 16:18,S178 TP2,25879.5,528,274977120,1689600,0.61,1689600,0.61,-34320,-0.01,4615740,4615.74
181,Short-Einstieg,2026-01-13 15:41,Short_178,26039.5,528,274977120,1689600,0.61,1689600,0.61,-34320,-0.01,4615740,4615.74
182,Long-Ausstieg,2026-01-27 15:35,L078 SL,25954.75,1179,612278280,-265275,-0.04,312435,0.05,-265275,-0.04,4350465,4350.47
182,Long-Einstieg,2026-01-27 15:34,Long_078,25966,1179,612278280,-265275,-0.04,312435,0.05,-265275,-0.04,4350465,4350.47
183,Long-Ausstieg,2026-01-27 15:35,L078 SL,25954.75,1179,612278280,-265275,-0.04,312435,0.05,-265275,-0.04,4085190,4085.19
183,Long-Einstieg,2026-01-27 15:34,Long_078,25966,1179,612278280,-265275,-0.04,312435,0.05,-265275,-0.04,4085190,4085.19
184,Long-Ausstieg,2026-01-27 15:36,L140 SL,25941.25,1179,611959950,-265275,-0.04,218115,0.04,-265275,-0.04,3819915,3819.92
184,Long-Einstieg,2026-01-27 15:35,Long_140,25952.5,1179,611959950,-265275,-0.04,218115,0.04,-265275,-0.04,3819915,3819.92
185,Long-Ausstieg,2026-01-27 15:36,L140 SL,25941.25,1179,611959950,-265275,-0.04,218115,0.04,-265275,-0.04,3554640,3554.64
185,Long-Einstieg,2026-01-27 15:35,Long_140,25952.5,1179,611959950,-265275,-0.04,218115,0.04,-265275,-0.04,3554640,3554.64
186,Long-Ausstieg,2026-01-29 15:35,L140 SL,26073.75,913,476334925,-228250,-0.05,333245,0.07,-228250,-0.05,3326390,3326.39
186,Long-Einstieg,2026-01-29 15:34,Long_140,26086.25,913,476334925,-228250,-0.05,333245,0.07,-228250,-0.05,3326390,3326.39
187,Long-Ausstieg,2026-01-29 15:35,L140 SL,26073.75,913,476334925,-228250,-0.05,333245,0.07,-228250,-0.05,3098140,3098.14
187,Long-Einstieg,2026-01-29 15:34,Long_140,26086.25,913,476334925,-228250,-0.05,333245,0.07,-228250,-0.05,3098140,3098.14
188,Long-Ausstieg,2026-01-30 06:01,EOD_CLOSE,25865,1,521725,-4425,-0.85,365,0.07,-11005,-2.11,3093715,3093.71
188,Long-Einstieg,2026-01-29 15:34,Long_140,26086.25,1,521725,-4425,-0.85,365,0.07,-11005,-2.11,3093715,3093.71
189,Long-Ausstieg,2026-02-03 15:31,L078 SL,25888,798,413403900,-231420,-0.06,0,0.00,-231420,-0.06,2862295,2862.30
189,Long-Einstieg,2026-02-03 15:31,Long_078,25902.5,798,413403900,-231420,-0.06,0,0.00,-231420,-0.06,2862295,2862.30
190,Long-Ausstieg,2026-02-03 15:31,L078 SL,25888,798,413403900,-231420,-0.06,0,0.00,-231420,-0.06,2630875,2630.88
190,Long-Einstieg,2026-02-03 15:31,Long_078,25902.5,798,413403900,-231420,-0.06,0,0.00,-231420,-0.06,2630875,2630.88
